//Hero Names
"npc_dota_hero_queenofpain"			"Akasha"
"npc_dota_hero_brewmaster"			"Pandaren Brewmaster"
"npc_dota_hero_shadow_demon"		"Eradar"
"npc_dota_hero_lone_druid"			"Syllabear"
"npc_dota_hero_chaos_knight"		"Nessaj"
"npc_dota_hero_treant"				"Treant Protector"
"npc_dota_hero_meepo"				"Geomancer"
"npc_dota_hero_ogre_magi"			"Ogre Magi"
"npc_dota_hero_undying"				"Dirge"
"npc_dota_hero_rubick"				"Rubick"
"npc_dota_hero_disruptor"			"Thrall"
"npc_dota_hero_nyx_assassin"		"Nerubian Assassin"
"npc_dota_hero_naga_siren"			"Naga Siren"
"npc_dota_hero_keeper_of_the_light"	"Ezalor"
"npc_dota_hero_visage"				"Necro'lic"
"npc_dota_hero_wisp"				"Guardian Wisp"
"npc_dota_hero_slark"				"Murloc Nightcrawler"
"npc_dota_hero_medusa"				"Medusa"
"npc_dota_hero_troll_warlord"		"Troll Warlord"
"npc_dota_hero_centaur"				"Bradwarden"
"npc_dota_hero_magnataur"			"Magnataur"
"npc_dota_hero_shredder"			"Goblin Shredder"
"npc_dota_hero_bristleback"			"Bristleback"
"npc_dota_hero_tusk"				"Tuskarr"
"npc_dota_hero_skywrath_mage"		"Skywrath Mage"
"npc_dota_hero_abaddon"				"Lord of Avernus"
"npc_dota_hero_elder_titan"			"Elder Titan"
"npc_dota_hero_legion_commander"	"Legion Commander"
"npc_dota_hero_ember_spirit"		"Xin"
"npc_dota_hero_earth_spirit"		"Kaolin"
"npc_dota_hero_abyssal_underlord"	"Abyssal Underlord"
"npc_dota_hero_phoenix"				"Icarus"
"npc_dota_hero_terrorblade"			"Terrorblade"
"npc_dota_hero_oracle"				"Oracle"
"npc_dota_hero_techies"				"Techies"
"npc_dota_hero_winter_wyvern"		"Winter Wyvern"
"npc_dota_hero_arc_warden" "Zet"
